id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency,fetched_timestamp
avalanche-2,avax,Avalanche,https://assets.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,47.475,17965851068.0,12,20755958375.0,490061201.0,48.65,45.78,-1.0027481050159466,-2.06849,-343978749.345932,-1.87866,377909921.258938,436599555.761439,720000000.0,144.96,-67.21937,2021-11-21T14:18:56.538Z,2.8,1596.4695,2020-12-31T13:15:21.540Z,,2024-04-10T07:59:51.091Z,0.029795855583721227,-2.068487086334243,-0.5617090066207326,2024-04-10 08:00:03
shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1696511800,0.0,16368036616.0,13,27776566564.0,579398513.0,2.853e-05,2.694e-05,-7.99429385118e-07,-2.80577,-466716800.8884773,-2.77234,589264619254601.4,999982362230839.0,,8.616e-05,-67.95255,2021-10-28T03:54:55.568Z,5.6366e-11,48986001.80775,2020-11-28T11:26:25.838Z,,2024-04-10T08:00:01.577Z,0.44974661518125275,-2.805771441526995,2.0184837520453245,2024-04-10 08:00:03
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,628.754,12403839487.0,14,13229361557.0,1180562752.0,692.49,614.0,-40.006612539783646,-5.9822,-769611851.9623699,-5.84214,19689584.2716508,21000000.0,21000000.0,3785.82,-83.36233,2017-12-20T00:00:00.000Z,76.93,718.7092,2018-12-16T00:00:00.000Z,,2024-04-10T07:59:53.276Z,-0.3042036181243287,-5.982201392680235,2.3579290068420655,2024-04-10 08:00:03
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,8.536,11539988865.0,15,12231465593.0,313925976.0,9.08,8.42,-0.31238443450759057,-3.53046,-441627542.878706,-3.68588,1350952322.2768,1431901455.17151,,54.98,-84.45234,2021-11-04T14:10:09.301Z,2.7,216.90037,2020-08-20T05:48:11.359Z,,2024-04-10T07:59:53.112Z,-0.3240384115388153,-3.530463752926226,-1.8530595522515945,2024-04-10 08:00:03
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.124,10856024406.0,16,10856024525.0,389371655.0,0.123851,0.120059,0.00166178,1.36242,135255448.0,1.26162,87669278735.4907,87669279693.9407,,0.231673,-46.5994,2018-01-05T00:00:00.000Z,0.00180434,6756.49725,2017-11-12T00:00:00.000Z,"{'times': 64.07071014592464, 'currency': 'usd', 'percentage': 6407.071014592463}",2024-04-10T07:59:52.989Z,0.5766917930777756,1.3624186251256112,5.333388149129879,2024-04-10 08:00:03
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,69363.463,10777887248.0,17,10777887248.0,300323027.0,70916.0,68523.0,-1108.6927449772193,-1.57324,-222418257.6113968,-2.02193,155266.89789822,155266.89789822,155266.89789822,73505.0,-5.50519,2024-03-14T07:10:23.403Z,3139.17,2112.64869,2019-04-02T00:00:00.000Z,,2024-04-10T07:59:55.575Z,0.02494455363358921,-1.5732351878064967,4.63573560368885,2024-04-10 08:00:03
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,17.441,10237382230.0,18,17437204446.0,392584320.0,17.86,17.12,-0.2967326543871671,-1.67289,-208858466.0664463,-1.99936,587099971.3083414,1000000000.0,1000000000.0,52.7,-66.9465,2021-05-10T00:13:57.214Z,0.148183,11654.41528,2017-11-29T00:00:00.000Z,,2024-04-10T07:59:52.816Z,0.047800998410716916,-1.672888234665525,-3.6418280915970156,2024-04-10 08:00:03
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uni.jpg?1696512319,11.169,8438982646.0,19,11195749315.0,157596377.0,11.52,10.95,-0.18596211106561178,-1.63767,-142699896.0599966,-1.66284,753766667.0,1000000000.0,1000000000.0,44.92,-75.05623,2021-05-03T05:25:04.822Z,1.03,987.6115,2020-09-17T01:20:38.214Z,,2024-04-10T07:59:47.863Z,-0.7166008453658358,-1.637671344637005,0.6123009094687679,2024-04-10 08:00:03
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/polygon.png?1698233745,0.891,8281335597.0,20,8921023314.0,376959306.0,0.947292,0.873246,-0.03739913737511502,-4.02784,-349769029.4394903,-4.05242,9282943566.203985,10000000000.0,10000000000.0,2.92,-69.41623,2021-12-27T02:08:34.307Z,0.00314376,28270.5838,2019-05-10T00:00:00.000Z,"{'times': 337.82736411112967, 'currency': 'usd', 'percentage': 33782.736411112965}",2024-04-10T07:59:59.374Z,-0.29371931872893386,-4.027843723191029,-2.4265841709873794,2024-04-10 08:00:03
near,near,NEAR Protocol,https://assets.coingecko.com/coins/images/10365/large/near.jpg?1696510367,6.987,7426935079.0,21,8287334682.0,664318853.0,7.65,6.9,-0.3055067185023246,-4.18913,-322999673.98252773,-4.16777,1060400337.31606,1183246170.6779,,20.44,-65.68379,2022-01-16T22:09:45.873Z,0.526762,1231.45202,2020-11-04T16:09:15.137Z,,2024-04-10T08:00:01.906Z,-0.3602952034700209,-4.189133134545109,4.373666867061591,2024-04-10 08:00:03
